user_input,intent,response,
I feel stressed,stress,Take a deep breath and focus on one task at a time.,
I feel tired,tired,You might need rest and hydration.,
I slept only 4 hours,sleep,Low sleep affects focus and productivity.,
I feel demotivated,motivation,Small progress every day leads to success.,
I have too much work,workload,Try prioritizing the most important task first.,
I feel overwhelmed,stress,Take a short break and focus on one task at a time.,
I am feeling low,motivation,Remember every small step counts.,
I feel stressed,stress,Take a deep breath and focus on one task at a time.,
I feel very stressed today,stress,Try to relax and break your work into smaller tasks.,
I am under a lot of stress,stress,Pause for a moment and breathe slowly.,
My mind feels overloaded,stress,Take a short break and clear your mind.,
I feel pressure from work,stress,Prioritize tasks and avoid multitasking.,
I feel overwhelmed,stress,Take a short break and focus on one task at a time.,
Too many things are in my mind,stress,Write down tasks and solve them one by one.,
I cannot handle this stress,stress,Relax and focus on the most important task first.,
Work stress is affecting me,stress,Take small breaks during work to stay calm.,
I feel mentally exhausted,stress,Rest for a few minutes and refresh yourself.,
I feel tired,tired,You might need rest and hydration.,
I am very tired today,tired,Take a short rest and drink water.,
My body feels tired,tired,Maybe you need some rest.,
I feel exhausted,tired,Try taking a break and relax.,
I have no energy,tired,A short nap or walk might help.,
I feel weak,tired,Make sure you are eating properly and resting.,
I am feeling sleepy,tired,Take a break and rest your eyes.,
I worked too much today,tired,Give yourself some time to relax.,
I feel drained,tired,Take some time to recover your energy.,
I am too tired to work,tired,Take rest and continue later.,
I slept only 4 hours,sleep,Low sleep affects focus and productivity.,
I did not sleep well,sleep,Try to sleep at least 7 hours for better focus.,
I am feeling sleepy,sleep,Take a short nap if possible.,
I woke up many times last night,sleep,Try relaxing before bedtime.,
I feel sleepy at work,sleep,Drink water and take a quick break.,
My sleep schedule is bad,sleep,Maintain a fixed sleep routine.,
I cannot sleep properly,sleep,Avoid screens before sleeping.,
I slept very late,sleep,Try going to bed earlier tonight.,
I feel drowsy,sleep,Stand up and stretch for a minute.,
I did not get enough sleep,sleep,Good sleep improves productivity.,
I feel demotivated,motivation,Small progress every day leads to success.,
I have no motivation,motivation,Start with a small task to regain momentum.,
I feel like giving up,motivation,Remember why you started.,
I feel unmotivated today,motivation,Take small steps toward your goal.,
I feel lazy,motivation,Start with the easiest task first.,
I cannot focus on my goals,motivation,Remind yourself of your purpose.,
I lost motivation,motivation,Take a break and come back refreshed.,
I do not feel like working,motivation,Try completing one small task.,
I feel discouraged,motivation,Progress takes time  keep moving forward.,
I am feeling low,motivation,Remember every small step counts.,
I have too much work,workload,Try prioritizing the most important task first.,
My workload is huge,workload,Break tasks into smaller manageable parts.,
I cannot manage my work,workload,Create a simple task list.,
There is too much work pending,workload,Focus on one task at a time.,
I have a lot to finish today,workload,Start with the highest priority task.,
My tasks are piling up,workload,Organize your tasks in order of urgency.,
I feel buried in work,workload,Take a short pause and plan your tasks.,
Too many deadlines,workload,Plan your schedule carefully.,
I cannot complete all tasks,workload,Finish one task before starting another.,
Work is overwhelming me,workload,Take a break and reorganize priorities.,
I cannot concentrate,focus,Remove distractions and start with one task.,
My focus is gone,focus,Try the Pomodoro technique for better focus.,
I keep getting distracted,focus,Turn off notifications and continue.,
I cannot focus on my work,focus,Try working in short focused sessions.,
My mind keeps wandering,focus,Take a deep breath and refocus.,
I struggle to concentrate,focus,Take a small break and return.,
I feel distracted today,focus,Work in a quiet environment.,
I cannot stay focused,focus,Set a timer for 25 minutes and work.,
My focus level is low,focus,Take a quick walk to refresh your mind.,
I lose focus easily,focus,Keep your workspace clean and simple.,
I need a break,break,Take a short walk and relax.,
I want to rest,break,Step away from the screen for a few minutes.,
I need some time off,break,Relax your mind before continuing.,
I feel like taking a break,break,A small break can improve productivity.,
I should rest for a while,break,Rest for a few minutes and return refreshed.,
My mind is tired,break,Close your eyes and breathe slowly.,
I cannot continue working,break,Take a break and hydrate yourself.,
I need to relax,break,Listen to calm music for a moment.,
I feel burned out,break,Step away and recharge yourself.,
I want to pause for a bit,break,Short breaks help you stay productive.,
I feel anxious,anxiety,Take slow deep breaths to calm your mind.,
I feel nervous,anxiety,Focus on breathing slowly.,
I feel worried about work,anxiety,Try writing down your concerns.,
I feel uneasy,anxiety,Relax and take a moment to breathe.,
My mind is restless,anxiety,Practice mindfulness for a minute.,
I feel panic,anxiety,Take deep breaths and relax your body.,
I cannot stop worrying,anxiety,Focus only on what you can control.,
I feel tension in my mind,anxiety,Pause and breathe deeply.,
I am anxious about tasks,anxiety,Start with the simplest task.,
I feel uneasy today,anxiety,Take a short walk and relax.,
I want to be productive,productivity,Start with your most important task.,
How can I improve productivity,productivity,Plan your day before starting work.,
I want to work efficiently,productivity,Use time blocks for tasks.,
How can I work faster,productivity,Eliminate distractions while working.,
I want to complete tasks quickly,productivity,Focus on one task at a time.,
I want better productivity,productivity,Create a clear task list.,
How can I stay productive,productivity,Take breaks to maintain energy.,
I want to finish my work early,productivity,Prioritize your tasks properly.,
I want to improve my workflow,productivity,Plan tasks and avoid multitasking.,
I want to manage time better,productivity,Use a daily schedule.,
I feel stuck,stress,Take a break and return with a fresh mind.,
I cannot move forward,stress,Start with a very small step.,
Everything feels difficult,stress,Simplify the task and begin again.,
My brain feels blocked,stress,Relax for a few minutes and retry.,
I cannot think clearly,stress,Take a deep breath and slow down.,
I feel pressure to succeed,stress,Focus on progress not perfection.,
I am overthinking everything,stress,Write down your thoughts and organize them.,
I feel mentally blocked,stress,Take a walk and refresh your mind.,
I cannot solve this problem,stress,Break the problem into smaller parts.,
I feel confused about tasks,stress,Create a simple action plan.,
I need encouragement,motivation,You are capable of achieving your goals.,
Tell me something motivating,motivation,Keep moving forward step by step.,
Give me motivation,motivation,Consistency creates success.,
I need inspiration,motivation,Every effort counts.,
I feel like quitting,motivation,Success requires patience.,
Encourage me,motivation,You are stronger than your doubts.,
Motivate me please,motivation,Keep going  progress takes time., progress takes time.
I need positive words,motivation,You can achieve more than you think.,
Say something inspiring,motivation,Every day is a new chance.,
Help me stay motivated,motivation,Focus on small daily progress.,
